,LCSBID
hkndd_c,1467903243
hkntd_c,1467981320
hlipa_c,
hmbil_c,1467876986
hmgth_c,629297350
hom__L_c,1467869044
hom__L_e,1467869044
hom__L_p,1467869044
hphhlipa_c,1469329025
hpmeACP_c,
hpyr_c,1467867813
hqn_c,1467871989
hx2coa_c,1467908124
hxa_c,1467881737
hxa_e,1467881737
hxa_p,1467881737
hxan_c,1467869030
hxan_e,1467869030
hxan_p,1467869030
hxcoa_c,
iasp_c,1467912737
ichor_c,1467875657
icit_c,1467869532
icolipa_c,
idon__L_c,1467868971
idon__L_e,1467868971
idon__L_p,1467868971
idp_c,1467866932
ile__L_c,1467870608
ile__L_e,1467870608
ile__L_p,1467870608
iletrna_c,
imacp_c,1467879286
imp_c,2594275428
imp_e,2594275428
imp_p,2594275428
indole_c,1467871193
indole_e,1467871193
indole_p,1467871193
inost_c,1467867385
inost_e,1467867385
inost_p,1467867385
ins_c,1467869312
ins_e,1467869312
ins_p,1467869312
ipdp_c,1467867268
iscs_c,
iscssh_c,
iscu_2fe2s2_c,
iscu_2fe2s_c,
iscu_4fe4s_c,
iscu_c,
isetac_c,1467907148
isetac_e,1467907148
isetac_p,1467907148
itp_c,1467866603
k_c,1468121586
k_e,1468121586
k_p,1468121586
kdo2lipid4L_c,
kdo2lipid4_c,1467914263
kdo2lipid4_e,1467914263
kdo2lipid4_p,1467914263
kdo2lipid4p_c,
kdo8p_c,1467903231
kdo_c,1467878539
kdolipid4_c,1467914252
kphphhlipa_c,1469328702
lac__D_c,1467868029
lac__D_e,1467868029
lac__D_p,1467868029
lac__L_c,1467868029
lac__L_e,1467868029
lac__L_p,1467868029
lald__D_c,1467870817
lald__L_c,1467870817
lcts_c,1467868016
lcts_e,1467868016
lcts_p,1467868016
leu__L_c,1467867191
leu__L_e,1467867191
leu__L_p,1467867191
leutrna_c,
lgt__S_c,1467896139
lipa_c,
lipa_cold_c,1468217170
lipa_cold_e,1468217170
lipa_cold_p,1468217170
lipa_e,
lipa_p,
lipidA_c,1467906559
lipidAds_c,1467906651
lipidX_c,1467905866
lipoamp_c,1468008479
lipoate_c,1467873917
lipoate_e,1467873917
lipoate_p,1467873917
lipopb_c,
lpp_p,
lys__L_c,1467866162
lys__L_e,1467866162
lys__L_p,1467866162
lystrna_c,
lyx__L_c,1467970739
lyx__L_e,1467970739
lyx__L_p,1467970739
malACP_c,
mal__D_c,1467867543
mal__D_e,1467867543
mal__D_p,1467867543
mal__L_c,1467867543
mal__L_e,1467867543
mal__L_p,1467867543
malcoa_c,1467866633
malcoame_c,1468269444
malt6p_c,1467892879
malt_c,2786422988
malt_e,2786422988
malt_p,2786422988
malthp_c,1467916012
malthx_c,1467884861
malthx_e,1467884861
malthx_p,1467884861
maltpt_c,
maltpt_e,
maltpt_p,
malttr_c,1467870783
malttr_e,1467870783
malttr_p,1467870783
maltttr_c,1467883757
maltttr_e,1467883757
maltttr_p,1467883757
man1p_c,1467866916
man6p_c,1467866763
man6p_e,1467866763
man6p_p,1467866763
man6pglyc_c,1468012875
man_c,1467865936
man_e,1467865936
man_p,1467865936
mana_c,1467868971
manglyc_e,1467971343
manglyc_p,1467971343
mdhdhf_c,1468269849
melib_c,1467868895
melib_e,1467868895
melib_p,1467868895
meoh_c,1467867313
meoh_e,1467867313
meoh_p,1467867313
mercppyr_c,1467876342
met__D_c,1467866492
met__D_e,1467866492
met__D_p,1467866492
met__L_c,1467866492
met__L_e,1467866492
met__L_p,1467866492
methf_c,1467871009
metsox_R__L_c,1467892817
metsox_R__L_e,1467892817
metsox_R__L_p,1467892817
metsox_S__L_c,1467892817
metsox_S__L_e,1467892817
metsox_S__L_p,1467892817
mettrna_c,
mg2_c,1468120779
mg2_e,1468120779
mg2_p,1468120779
mi1p__D_c,1467878427
micit_c,1467904131
mincyc_e,352926908
mincyc_p,352926908
minohp_e,1467878694
minohp_p,1467878694
mlthf_c,1467867460
mmcoa__S_c,1467873516
mmet_c,1467894227
mmet_e,1467894227
mmet_p,1467894227
mn2_c,1467865984
mn2_e,1467865984
mn2_p,1467865984
mnl1p_c,1467873168
mnl_e,1467870443
mnl_p,1467870443
moadamp_c,
moadcoo_c,
moadcosh_c,
