,LCSBID
s_1203_m,1467865563
s_1203_p,1467865563
s_1207_c,1467865592
s_1207_er,1467865592
s_1207_m,1467865592
s_1207_p,1467865592
s_1212_c,1467865578
s_1212_er,1467865578
s_1212_m,1467865578
s_1212_p,1467865578
s_1216_c,1467867595
s_1216_n,1467867595
s_1218_c,1467894077
s_1219_c,1467868908
s_1219_e,1467868908
s_1219_m,1467868908
s_1222_c,1467878511
s_1222_m,1467878511
s_1224_c,1467871113
s_1224_e,1467871113
s_1224_n,1467871113
s_1224_p,1467871113
s_1229_lp,1468185769
s_1230_c,1467899141
s_1231_c,1467900971
s_1231_lp,1467900971
s_1233_c,1467877450
s_1234_c,1467876560
s_1235_c,1467889778
s_1235_m,1467889778
s_1235_p,1467889778
s_1238_c,1467877700
s_1239_c,1467869921
s_1239_er,1467869921
s_1241_c,1467877856
s_1246_lp,1468185777
s_1248_c,1467917646
s_1248_e,1467917646
s_1248_p,1467917646
s_1254_m,1467911907
s_1258_p,1467884933
s_1259_lp,1467900985
s_1260_c,1467873776
s_1262_c,1467871766
s_1262_p,1467871766
s_1266_c,1467866549
s_1266_e,1467866549
s_1266_m,1467866549
s_1269_c,1467869325
s_1270_c,1467877711
s_1271_c,1467866007
s_1271_e,1467866007
s_1271_m,1467866007
s_1271_p,1467866007
s_1275_c,1467865610
s_1275_er,1467865610
s_1275_e,1467865610
s_1275_m,1467865610
s_1275_p,1467865610
s_1282_c,1467879210
s_1283_c,1467879221
s_1284_c,1468185469
s_1286_c,1467868847
s_1286_e,1467868847
s_1286_p,1467868847
s_1293_c,1467933773
s_1293_e,1467933773
s_1293_p,1467933773
s_1302_c,1467867611
s_1302_er,1467867611
s_1302_p,1467867611
s_1307_c,1467878010
s_1307_m,1467878010
s_1309_e,1467868103
s_1310_lp,1468185801
s_1311_c,1467901451
s_1311_lp,1467901451
s_1311_m,1467901451
s_1314_c,1467896552
s_1314_m,1467896552
s_1316_c,1467979151
s_1316_e,1467979151
s_1318_c,1467872719
s_1318_e,1467872719
s_1318_m,1467872719
s_1321_c,1467923604
s_1322_c,1467865636
s_1322_er,1467865636
s_1322_e,1467865636
s_1322_g,1467865636
s_1322_m,1467865636
s_1322_v,1467865636
s_1337_c,631799096
s_1346_c,1467867656
s_1351_c,1467869969
s_1351_er,1467869969
s_1360_c,1467866507
s_1360_m,1467866507
s_1364_c,1467905379
s_1365_c,1467905230
s_1366_er,1467977554
s_1367_er,1469391874
s_1368_c,1467877338
s_1371_c,1467866691
s_1372_c,1467876094
s_1373_c,1467868704
s_1373_e,1467868704
s_1375_c,1467888947
s_1376_c,1467868655
s_1377_c,1467868924
s_1378_c,1467876986
s_1379_c,1467890709
s_1382_m,1467866871
s_1383_m,1467886913
s_1384_c,1467877470
s_1384_m,1467877470
s_1386_c,1467867132
s_1386_m,1467867132
s_1388_c,1467878335
s_1389_c,1467867342
s_1389_e,1467867342
s_1389_v,1467867342
s_1392_c,1467868867
s_1393_c,1467865752
s_1394_c,1467872046
s_1395_c,1467873194
s_1396_c,1467869570
s_1396_e,1467869570
s_1398_c,1467872953
s_1399_c,1467865812
s_1399_e,1467865812
s_1399_m,1467865812
s_1403_c,1467898015
s_1403_m,1467898015
s_1405_c,1467868938
s_1405_e,1467868938
s_1405_m,1467868938
s_1408_c,1467867103
s_1409_m,1468174252
s_1410_m,1467879066
s_1411_m,1467878346
s_1412_c,1467902875
s_1413_c,1467865798
s_1413_m,1467865798
s_1416_c,382536806
s_1416_e,382536806
s_1416_m,382536806
s_1420_c,1467878037
s_1421_c,1467877039
s_1422_c,1467901239
s_1423_c,1467904052
s_1424_c,1467894227
s_1424_e,1467894227
s_1426_c,1467871033
s_1427_c,1467909038
s_1428_c,1467889677
s_1429_c,1467871544
s_1430_c,1467874149
s_1431_c,1467912171
s_1432_ce,1467873383
s_1432_c,1467873383
s_1432_e,1467873383
s_1437_c,1467879821
s_1437_e,1467879821
s_1439_c,1467869584
s_1439_e,1467869584
s_1439_v,1467869584
